sid,sname,rating,age
511,Avye,9,58
512,Garrett,9,23
513,Vivian,1,30
514,Zelda,2,23
515,David,4,43
516,Hilel,5,59
517,Jennifer,10,34
518,Kibo,7,55
519,Chancellor,8,54
520,Indigo,4,41
521,Benjamin,7,29
522,Desirae,5,15
523,Addison,3,42
524,Lance,10,19
525,Cameran,9,26
526,Chandler,9,26
527,Andrew,9,59
528,Renee,6,27
529,Ross,2,59
530,Dennis,3,29
531,Dexter,4,37
532,Charde,8,44
533,Dora,3,58
534,Kuame,5,51
535,Miriam,7,39
536,Zenia,4,54
537,Rachel,2,23
538,Brynne,7,39
539,Damon,2,37
540,Maya,2,56
541,Mara,2,17
542,Alice,2,54
543,Chastity,5,60
544,Elizabeth,3,22
545,Melyssa,4,19
546,Noelle,2,41
547,Darius,5,25
548,Ezra,8,32
549,Ahmed,5,55
550,Kenyon,8,19
551,Chiquita,5,32
552,Nina,6,57
553,Hakeem,3,59
554,Astra,5,48
555,Hunter,5,23
556,Iliana,8,56
557,Fredericka,8,60
558,Colton,3,16
559,Cameron,8,45
560,Troy,5,19
561,Stephanie,9,55
562,Josiah,2,51
563,Yoshio,4,24
564,Cameran,8,54
565,Patricia,4,22
566,Drake,1,24
567,Hyatt,1,47
568,Thane,5,17
569,Pascale,6,31
570,Latifah,3,17
571,Oleg,3,45
572,Willow,9,36
573,Uta,10,27
574,Lacey,9,43
575,Benjamin,5,34
576,Carly,9,30
577,Kim,10,23
578,Jane,7,31
579,Liberty,9,22
580,Sonya,7,18
581,Garrison,3,28
582,Wang,7,58
583,Paloma,9,55
584,Emma,10,32
585,Colette,8,21
586,Quemby,6,53
587,Ashton,8,49
588,Sheila,4,34
589,Rhea,8,58
590,Griffith,7,18
591,Dustin,2,29
592,Gavin,1,36
593,William,7,37
594,Xyla,4,42
595,Isaiah,1,34
596,Brady,7,43
597,Zelda,9,35
598,Dorian,5,25
599,Brady,6,37
600,Dylan,1,44
601,Odessa,10,48
602,Solomon,2,15
603,Charde,2,22
604,Nichole,7,52
605,Piper,9,37
606,Geoffrey,4,51
607,Flavia,5,27
608,Teegan,4,38
609,Vaughan,1,18
610,Yardley,6,31
