sid,sname,rating,age
711,Vanna,6,44
712,Aphrodite,7,49
713,Bertha,9,30
714,Paloma,2,47
715,Hunter,8,16
716,Courtney,1,34
717,Ezekiel,7,36
718,Forrest,3,53
719,Urielle,6,32
720,Berk,7,57
721,Pandora,2,35
722,Zane,8,38
723,Bradley,6,45
724,Melvin,9,54
725,Amena,5,21
726,Miriam,8,39
727,Calista,2,44
728,Uriah,4,59
729,Calista,6,25
730,Ima,6,47
731,Faith,5,27
732,Bo,6,37
733,Keaton,4,35
734,Hall,4,55
735,Talon,4,58
736,Hedwig,3,22
737,Aimee,4,39
738,Mark,4,57
739,Fiona,8,39
740,Shelby,10,29
741,Hilel,4,35
742,Kasper,2,59
743,Sonia,9,36
744,Colt,8,52
745,Ainsley,1,21
746,Prescott,5,52
747,Yoshio,1,22
748,Jordan,1,45
749,Samson,2,31
750,Willa,4,33
751,Steven,3,54
752,Nathaniel,6,48
753,Lavinia,10,36
754,Maggy,2,59
755,Madaline,7,54
756,Cameron,9,32
757,Liberty,10,41
758,Meghan,6,58
759,Nigel,6,47
760,Claudia,4,53
761,Amela,8,35
762,Moana,5,46
763,Jaden,10,41
764,Bevis,8,25
765,Audra,6,27
766,Ruby,8,25
767,Marcia,8,50
768,Hayes,5,58
769,TaShya,5,37
770,Anastasia,5,21
771,Alexa,4,33
772,Rhea,8,53
773,Yolanda,7,39
774,Wing,5,40
775,Brynn,3,39
776,Darius,6,51
777,Nigel,8,41
778,Shana,1,20
779,Aiko,7,31
780,Kevyn,5,36
781,Evelyn,5,41
782,Yoko,7,43
783,Josiah,1,26
784,Kimberley,8,27
785,Arden,4,26
786,Tanner,2,29
787,Leila,5,52
788,Kelly,4,46
789,Xander,7,41
790,Rebekah,8,16
791,Jason,2,19
792,Madaline,8,42
793,Kylan,2,44
794,Clio,3,16
795,Velma,10,19
796,Fallon,9,19
797,Tanner,7,43
798,Darrel,9,54
799,Griffith,2,59
800,Candice,8,43
801,Zelda,3,44
802,Harriet,3,44
803,Phelan,9,28
804,Chancellor,3,56
805,Darrel,10,35
806,Venus,3,51
807,Brian,8,60
808,Kylee,7,59
809,Shelly,4,40
810,Abbot,6,18
